Date,ABG
2000/01/04,2785
2000/01/05,2720
2000/01/06,2695
2000/01/07,2790
2000/01/10,2950
2000/01/11,3115
2000/01/12,3125
2000/01/13,3050
2000/01/14,3080
2000/01/17,3150
2000/01/18,3180
2000/01/19,3100
2000/01/20,3100
2000/01/21,3065
2000/01/24,3045
2000/01/25,2930
2000/01/26,2910
2000/01/27,2770
2000/01/28,2600
2000/01/31,2600
2000/02/01,2750
2000/02/02,2790
2000/02/03,2800
2000/02/04,2780
2000/02/07,2900
2000/02/08,2920
2000/02/09,2945
2000/02/10,2800
2000/02/11,2710
2000/02/14,2650
2000/02/15,2630
2000/02/16,2600
2000/02/17,2600
2000/02/18,2525
2000/02/21,2470
2000/02/22,2400
2000/02/23,2500
2000/02/24,2580
2000/02/25,2490
2000/02/28,2370
2000/02/29,2450
2000/03/01,2450
2000/03/02,2385
2000/03/03,2310
2000/03/06,2370
2000/03/07,2500
2000/03/08,2425
2000/03/09,2500
2000/03/10,2400
2000/03/13,2360
2000/03/14,2390
2000/03/15,2375
2000/03/16,2330
2000/03/17,2400
2000/03/20,2420
2000/03/22,2405
2000/03/23,2460
2000/03/24,2550
2000/03/27,2600
2000/03/28,2550
2000/03/29,2560
2000/03/30,2450
2000/03/31,2390
2000/04/03,2395
2000/04/04,2400
2000/04/05,2330
2000/04/06,2350
2000/04/07,2330
2000/04/10,2345
2000/04/11,2295
2000/04/12,2280
2000/04/13,2275
2000/04/14,2245
2000/04/17,2030
2000/04/18,2100
2000/04/19,2195
2000/04/20,2300
2000/04/25,2330
2000/04/26,2430
2000/04/28,2400
2000/05/02,2330
2000/05/03,2300
2000/05/04,2330
2000/05/05,2300
2000/05/08,2260
2000/05/09,2250
2000/05/10,2260
2000/05/11,2320
2000/05/12,2270
2000/05/15,2265
2000/05/16,2260
2000/05/17,2290
2000/05/18,2300
2000/05/19,2255
2000/05/22,2270
2000/05/23,2245
2000/05/24,2180
2000/05/25,2315
2000/05/26,2290
2000/05/29,2410
2000/05/30,2450
2000/05/31,2550
2000/06/01,2600
2000/06/02,2620
2000/06/05,2625
2000/06/06,2635
2000/06/07,2625
2000/06/08,2600
2000/06/09,2700
2000/06/12,2715
2000/06/13,2760
2000/06/14,2795
2000/06/15,2775
2000/06/19,2650
2000/06/20,2710
2000/06/21,2675
2000/06/22,2620
2000/06/23,2560
2000/06/26,2575
2000/06/27,2620
2000/06/28,2595
2000/06/29,2590
2000/06/30,2570
2000/07/03,2530
2000/07/04,2600
2000/07/05,2635
2000/07/06,2590
2000/07/07,2600
2000/07/10,2595
2000/07/11,2600
2000/07/12,2600
2000/07/13,2580
2000/07/14,2575
2000/07/17,2580
2000/07/18,2575
2000/07/19,2575
2000/07/20,2585
2000/07/21,2575
2000/07/24,2505
2000/07/25,2495
2000/07/26,2520
2000/07/27,2520
2000/07/28,2510
2000/07/31,2520
2000/08/01,2590
2000/08/02,2610
2000/08/03,2670
2000/08/04,2670
2000/08/07,2735
2000/08/08,2725
2000/08/10,2730
2000/08/11,2730
2000/08/14,2760
2000/08/15,2755
2000/08/16,2750
2000/08/17,2745
2000/08/18,2800
2000/08/21,2820
2000/08/22,2890
2000/08/23,2880
2000/08/24,2955
2000/08/25,2970
2000/08/28,2960
2000/08/29,2970
2000/08/30,2900
2000/08/31,2880
2000/09/01,2840
2000/09/04,2900
2000/09/05,2880
2000/09/06,2865
2000/09/07,2855
2000/09/08,2870
2000/09/11,2850
2000/09/12,2880
2000/09/13,2965
2000/09/14,3010
2000/09/15,2960
2000/09/18,2880
2000/09/19,2805
2000/09/20,2735
2000/09/21,2755
2000/09/22,2800
2000/09/26,2790
2000/09/27,2780
2000/09/28,2740
2000/09/29,2740
2000/10/02,2730
2000/10/03,2745
2000/10/04,2755
2000/10/05,2760
2000/10/06,2770
2000/10/09,2750
2000/10/10,2650
2000/10/11,2580
2000/10/12,2585
2000/10/13,2600
2000/10/16,2595
2000/10/17,2535
2000/10/18,2450
2000/10/19,2530
2000/10/20,2560
2000/10/23,2490
2000/10/24,2430
2000/10/25,2320
2000/10/26,2300
2000/10/27,2325
2000/10/30,2390
2000/10/31,2570
2000/11/01,2600
2000/11/02,2660
2000/11/03,2615
2000/11/06,2570
2000/11/07,2550
2000/11/08,2570
2000/11/09,2600
