Date,AGL
2000/01/04,10261.6
2000/01/05,10246.15
2000/01/06,10611.72
2000/01/07,10915.5
2000/01/10,11054.51
2000/01/11,10941.24
2000/01/12,10817.67
2000/01/13,10956.69
2000/01/14,10864.01
2000/01/17,10812.52
2000/01/18,10632.31
2000/01/19,10585.97
2000/01/20,10606.57
2000/01/21,10452.1
2000/01/24,10328.53
2000/01/25,9968.11
2000/01/26,9679.78
2000/01/27,9576.8
2000/01/28,9345.11
2000/01/31,9154.6
2000/02/01,9576.8
2000/02/02,9376
2000/02/03,9190.64
2000/02/04,9139.15
2000/02/07,9556.21
2000/02/08,9427.49
2000/02/09,9509.87
2000/02/10,9345.11
2000/02/11,9139.15
2000/02/14,8809.63
2000/02/15,8845.67
2000/02/16,8701.5
2000/02/17,9242.13
2000/02/18,9067.07
2000/02/21,8840.52
2000/02/22,8572.78
2000/02/23,8598.53
2000/02/24,8444.06
2000/02/25,7929.18
2000/02/28,7594.51
2000/02/29,7321.62
2000/03/01,7630.55
2000/03/02,7676.89
2000/03/03,7903.44
2000/03/06,8083.65
2000/03/07,7934.33
2000/03/08,7800.46
2000/03/09,7635.7
2000/03/10,7465.79
2000/03/13,7002.39
2000/03/14,6976.65
2000/03/15,7125.97
2000/03/16,7671.74
2000/03/17,7723.23
2000/03/20,7826.2
2000/03/22,8032.16
2000/03/23,7908.59
2000/03/24,7903.44
2000/03/27,7913.73
2000/03/28,7517.28
2000/03/29,7769.57
2000/03/30,7568.76
2000/03/31,7779.87
2000/04/03,7769.57
2000/04/04,7980.67
2000/04/05,7620.25
2000/04/06,7800.46
2000/04/07,7826.2
2000/04/10,7774.72
2000/04/11,7697.48
2000/04/12,7491.53
2000/04/13,7192.9
2000/04/14,6822.18
2000/04/17,6230.07
2000/04/18,6461.77
2000/04/19,6461.77
2000/04/20,6770.7
2000/04/25,6920.01
2000/04/26,7079.63
2000/04/28,7398.85
2000/05/02,7599.66
2000/05/03,8032.16
2000/05/04,8057.9
2000/05/05,8150.58
2000/05/08,8212.37
2000/05/09,8547.04
2000/05/10,8727.25
2000/05/11,8315.34
2000/05/12,7903.44
2000/05/15,7980.67
2000/05/16,8006.41
2000/05/17,7800.46
2000/05/18,7826.2
2000/05/19,7851.95
2000/05/22,7929.18
2000/05/23,8155.73
2000/05/24,7954.92
2000/05/25,7851.95
2000/05/26,7877.69
2000/05/29,7851.95
2000/05/30,7877.69
2000/05/31,7790.16
2000/06/01,7980.67
2000/06/02,8021.86
2000/06/05,8032.16
2000/06/06,8160.88
2000/06/07,8160.88
2000/06/08,8238.11
2000/06/09,8521.29
2000/06/12,8624.27
2000/06/13,8469.81
2000/06/14,8341.09
2000/06/15,8212.37
2000/06/19,8181.47
2000/06/20,8181.47
2000/06/21,8109.39
2000/06/22,8114.54
2000/06/23,8088.79
2000/06/26,8186.62
2000/06/27,8104.24
2000/06/28,8222.66
2000/06/29,8217.51
2000/06/30,8294.75
2000/07/03,8526.44
2000/07/04,8624.27
2000/07/05,8619.12
2000/07/06,8521.29
2000/07/07,8511
2000/07/10,8752.99
2000/07/11,8886.86
2000/07/12,9139.15
2000/07/13,9000.14
2000/07/14,9216.39
2000/07/17,9283.32
2000/07/18,9355.4
2000/07/19,9365.7
2000/07/20,9082.52
2000/07/21,8778.74
2000/07/24,8855.97
2000/07/25,8804.48
2000/07/26,8716.95
2000/07/27,8608.82
2000/07/28,8583.08
2000/07/31,8459.51
2000/08/01,8418.32
2000/08/02,8516.15
2000/08/03,8500.7
2000/08/04,8758.14
2000/08/07,8650.02
2000/08/08,8830.22
2000/08/10,9159.75
2000/08/11,9370.85
2000/08/14,9540.76
2000/08/15,9700.37
2000/08/16,9633.44
2000/08/17,9803.35
2000/08/18,10040.2
2000/08/21,9921.77
2000/08/22,10271.89
2000/08/23,10349.13
2000/08/24,10246.15
2000/08/25,10143.17
2000/08/28,9962.96
2000/08/29,10096.83
2000/08/30,10040.2
2000/08/31,10040.2
2000/09/01,10271.89
2000/09/04,10632.31
2000/09/05,10400.61
2000/09/06,10431.51
2000/09/07,10297.64
2000/09/08,10555.08
2000/09/11,10513.89
2000/09/12,10246.15
2000/09/13,10385.17
2000/09/14,10349.13
2000/09/15,10163.77
2000/09/18,9798.2
2000/09/19,9551.06
2000/09/20,9442.93
2000/09/21,9267.87
2000/09/22,9190.64
2000/09/26,9448.08
2000/09/27,9530.46
2000/09/28,9885.73
2000/09/29,9834.24
2000/10/02,9988.71
2000/10/03,9983.56
2000/10/04,10091.68
2000/10/05,9962.96
2000/10/06,9952.67
2000/10/09,9911.48
2000/10/10,9937.22
2000/10/11,9731.27
2000/10/12,9808.5
2000/10/13,9782.76
2000/10/16,10210.11
2000/10/17,10374.87
2000/10/18,10194.66
2000/10/19,10307.93
2000/10/20,10168.92
2000/10/23,10210.11
2000/10/24,10168.92
2000/10/25,10297.64
2000/10/26,10143.17
2000/10/27,10127.73
2000/10/30,10143.17
2000/10/31,10580.82
2000/11/01,10683.8
2000/11/02,10761.03
2000/11/03,10673.5
2000/11/06,10683.8
2000/11/07,10936.09
2000/11/08,10889.75
2000/11/09,10786.78
2000/11/10,10601.42
2000/11/13,10503.59
2000/11/14,10606.57
2000/11/15,10735.29
2000/11/16,10915.5
2000/11/17,10838.26
2000/11/20,10683.8
2000/11/21,10838.26
2000/11/22,10838.26
2000/11/23,10632.31
2000/11/24,10632.31
2000/11/27,10699.25
2000/11/28,10786.78
2000/11/29,10776.48
2000/11/30,10235.85
2000/12/01,9834.24
2000/12/04,9988.71
2000/12/06,10431.51
2000/12/07,10529.33
2000/12/08,10740.44
2000/12/11,11260.47
2000/12/12,11172.94
2000/12/13,10900.05
2000/12/14,10714.69
2000/12/15,10426.36
2000/12/18,10529.33
2000/12/19,10668.35
2000/12/20,10400.61
2000/12/21,10400.61
2000/12/22,10503.59
2000/12/27,10755.88
2000/12/28,10668.35
2000/12/29,10529.33
2001/01/02,10730.14
2001/01/03,10606.57
2001/01/04,11420.08
2001/01/05,11250.17
2001/01/08,11430.38
2001/01/09,11414.93
2001/01/10,11636.33
2001/01/11,11713.56
2001/01/12,11538.5
2001/01/15,11481.87
2001/01/16,11332.55
2001/01/17,11744.46
2001/01/18,11996.75
2001/01/19,12434.4
2001/01/22,12156.36
2001/01/23,12156.36
2001/01/24,12073.98
2001/01/25,12022.49
2001/01/26,12022.49
2001/01/29,12228.44
2001/01/30,12357.16
2001/01/31,12408.65
2001/02/01,12573.42
2001/02/02,13227.32
2001/02/05,12805.11
2001/02/06,12696.99
2001/02/07,12563.12
2001/02/08,12563.12
2001/02/09,12578.56
2001/02/12,12769.07
2001/02/13,13000.77
2001/02/14,13052.26
2001/02/15,13201.57
2001/02/16,13845.17
2001/02/19,13634.07
2001/02/20,13515.65
2001/02/21,13438.42
2001/02/22,13721.6
2001/02/23,13767.94
2001/02/26,13634.07
2001/02/27,13515.65
2001/02/28,13119.19
2001/03/01,13026.51
2001/03/02,13191.27
2001/03/05,13438.42
2001/03/06,13737.05
2001/03/07,13747.35
2001/03/08,13459.01
2001/03/09,13443.57
2001/03/12,13386.93
2001/03/13,13371.48
2001/03/14,12794.81
2001/03/15,12588.86
2001/03/16,11960.71
2001/03/19,12305.68
2001/03/20,12331.42
2001/03/22,11512.76
2001/03/23,11559.1
2001/03/26,11868.03
2001/03/27,12058.53
2001/03/28,12367.46
2001/03/29,11893.77
2001/03/30,11718.71
2001/04/02,11353.15
2001/04/03,11172.94
2001/04/04,10827.97
2001/04/05,11481.87
2001/04/06,11687.82
2001/04/09,12130.62
2001/04/10,12408.65
2001/04/11,12434.4
2001/04/12,12449.84
2001/04/17,12202.7
2001/04/18,12506.48
2001/04/19,12846.3
2001/04/20,13165.53
2001/04/23,13165.53
2001/04/24,13258.21
2001/04/25,13397.23
2001/04/26,13180.98
2001/04/30,13114.04
2001/05/02,13057.4
2001/05/03,12794.81
2001/05/04,12794.81
2001/05/07,13078
2001/05/08,12789.67
2001/05/09,12707.28
2001/05/10,12707.28
2001/05/11,12563.12
2001/05/14,12748.48
2001/05/15,13469.31
2001/05/16,14251.93
2001/05/17,14396.1
2001/05/18,13943
2001/05/21,14519.67
2001/05/22,14519.67
2001/05/23,14396.1
2001/05/24,14313.72
2001/05/25,13551.69
2001/05/28,13840.02
2001/05/29,13489.9
2001/05/30,13242.76
2001/05/31,13345.74
2001/06/01,13283.95
2001/06/04,13304.55
2001/06/05,13448.71
2001/06/06,13119.19
2001/06/07,13016.21
2001/06/08,12563.12
2001/06/11,12954.43
2001/06/12,12892.64
2001/06/13,13098.59
2001/06/14,12645.5
2001/06/15,11945.26
2001/06/18,12192.4
2001/06/19,12645.5
2001/06/20,12336.57
2001/06/21,12398.36
2001/06/22,12151.21
2001/06/25,12666.09
2001/06/26,12151.21
2001/06/27,12151.21
2001/06/28,12254.19
2001/06/29,12315.97
2001/07/02,12501.33
2001/07/03,12418.95
2001/07/04,12418.95
2001/07/05,12068.83
2001/07/06,11924.66
