Date,GRT
2000/01/04,419
2000/01/05,419
2000/01/06,419
2000/01/07,419
2000/01/10,419
2000/01/11,419
2000/01/12,419
2000/01/13,404.21
2000/01/14,443.65
2000/01/17,443.65
2000/01/18,492.94
2000/01/19,497.87
2000/01/20,497.87
2000/01/21,492.94
2000/01/24,492.94
2000/01/25,517.59
2000/01/26,517.59
2000/01/27,517.59
2000/01/28,517.59
2000/01/31,492.94
2000/02/01,468.29
2000/02/02,468.29
2000/02/03,468.29
2000/02/04,468.29
2000/02/07,463.37
2000/02/08,478.15
2000/02/09,478.15
2000/02/10,478.15
2000/02/11,492.94
2000/02/14,492.94
2000/02/15,468.29
2000/02/16,468.29
2000/02/17,468.29
2000/02/18,517.59
2000/02/21,517.59
2000/02/22,517.59
2000/02/23,517.59
2000/02/24,517.59
2000/02/25,492.94
2000/02/28,468.29
2000/02/29,468.29
2000/03/01,468.29
2000/03/02,468.29
2000/03/03,468.29
2000/03/06,468.29
2000/03/07,468.29
2000/03/08,468.29
2000/03/09,468.29
2000/03/10,468.29
2000/03/13,468.29
2000/03/14,453.51
2000/03/15,453.51
2000/03/16,453.51
2000/03/17,453.51
2000/03/20,453.51
2000/03/22,453.51
2000/03/23,453.51
2000/03/24,453.51
2000/03/27,453.51
2000/03/28,453.51
2000/03/29,453.51
2000/03/30,443.65
2000/03/31,443.65
2000/04/03,448.58
2000/04/04,443.65
2000/04/05,443.65
2000/04/06,443.65
2000/04/07,443.65
2000/04/10,428.86
2000/04/11,419
2000/04/12,419
2000/04/13,419
2000/04/14,423.93
2000/04/17,423.93
2000/04/18,423.93
2000/04/19,423.93
2000/04/20,433.79
2000/04/25,443.65
2000/04/26,443.65
2000/04/28,443.65
2000/05/02,468.29
2000/05/03,468.29
2000/05/04,458.44
2000/05/05,468.29
2000/05/08,453.51
2000/05/09,453.51
2000/05/10,453.51
2000/05/11,453.51
2000/05/12,453.51
2000/05/15,453.51
2000/05/16,453.51
2000/05/17,453.51
2000/05/18,453.51
2000/05/19,453.51
2000/05/22,453.51
2000/05/23,453.51
2000/05/24,453.51
2000/05/25,453.51
2000/05/26,453.51
2000/05/29,453.51
2000/05/30,453.51
2000/05/31,453.51
2000/06/01,453.51
2000/06/02,453.51
2000/06/05,453.51
2000/06/06,443.65
2000/06/07,443.65
2000/06/08,443.65
2000/06/09,443.65
2000/06/12,443.65
2000/06/13,443.65
2000/06/14,419
2000/06/15,419
2000/06/19,443.65
2000/06/20,443.65
2000/06/21,443.65
2000/06/22,443.65
2000/06/23,419
2000/06/26,419
2000/06/27,419
2000/06/28,419
2000/06/29,419
2000/06/30,419
2000/07/03,394.35
2000/07/04,394.35
2000/07/05,394.35
2000/07/06,394.35
2000/07/07,419
2000/07/10,419
2000/07/11,419
2000/07/12,419
2000/07/13,419
2000/07/14,419
2000/07/17,419
2000/07/18,419
2000/07/19,419
2000/07/20,419
2000/07/21,463.37
2000/07/24,463.37
2000/07/25,463.37
2000/07/26,463.37
2000/07/27,463.37
2000/07/28,463.37
2000/07/31,463.37
2000/08/01,463.37
2000/08/02,463.37
2000/08/03,463.37
2000/08/04,463.37
2000/08/07,463.37
2000/08/08,468.29
2000/08/10,468.29
2000/08/11,468.29
2000/08/14,468.29
2000/08/15,468.29
2000/08/16,468.29
2000/08/17,468.29
2000/08/18,468.29
2000/08/21,468.29
2000/08/22,468.29
2000/08/23,468.29
2000/08/24,468.29
2000/08/25,468.29
2000/08/28,468.29
2000/08/29,463.37
2000/08/30,463.37
2000/08/31,468.29
2000/09/01,468.29
2000/09/04,463.37
2000/09/05,463.37
2000/09/06,463.37
2000/09/07,443.65
2000/09/08,443.65
2000/09/11,443.65
2000/09/12,443.65
2000/09/13,443.65
2000/09/14,443.65
2000/09/15,443.65
2000/09/18,443.65
2000/09/19,443.65
2000/09/20,443.65
2000/09/21,448.58
2000/09/22,448.58
2000/09/26,448.58
2000/09/27,448.58
2000/09/28,448.58
2000/09/29,448.58
2000/10/02,448.58
2000/10/03,448.58
2000/10/04,448.58
2000/10/05,448.58
2000/10/06,448.58
2000/10/09,453.51
2000/10/10,453.51
2000/10/11,453.51
2000/10/12,453.51
2000/10/13,453.51
2000/10/16,453.51
2000/10/17,453.51
2000/10/18,453.51
2000/10/19,443.65
2000/10/20,443.65
2000/10/23,443.65
2000/10/24,443.65
2000/10/25,443.65
2000/10/26,443.65
2000/10/27,443.65
2000/10/30,438.72
2000/10/31,438.72
2000/11/01,438.72
2000/11/02,438.72
2000/11/03,438.72
2000/11/06,438.72
2000/11/07,438.72
2000/11/08,438.72
2000/11/09,438.72
2000/11/10,438.72
2000/11/13,438.72
2000/11/14,438.72
2000/11/15,438.72
2000/11/16,438.72
2000/11/17,438.72
2000/11/20,438.72
2000/11/21,438.72
2000/11/22,438.72
2000/11/23,438.72
2000/11/24,438.72
2000/11/27,438.72
2000/11/28,438.72
