Date,MRP
2000/01/04,700
2000/01/05,700
2000/01/06,700
2000/01/07,705
2000/01/10,720
2000/01/11,720
2000/01/12,730
2000/01/13,735
2000/01/14,750
2000/01/17,735
2000/01/18,715
2000/01/19,715
2000/01/20,730
2000/01/21,730
2000/01/24,730
2000/01/25,732
2000/01/26,740
2000/01/27,755
2000/01/28,750
2000/01/31,745
2000/02/01,740
2000/02/02,740
2000/02/03,745
2000/02/04,750
2000/02/07,750
2000/02/08,760
2000/02/09,770
2000/02/10,760
2000/02/11,760
2000/02/14,760
2000/02/15,730
2000/02/16,730
2000/02/17,730
2000/02/18,760
2000/02/21,760
2000/02/22,715
2000/02/23,715
2000/02/24,718
2000/02/25,710
2000/02/28,711
2000/02/29,715
2000/03/01,720
2000/03/02,695
2000/03/03,700
2000/03/06,695
2000/03/07,690
2000/03/08,679
2000/03/09,650
2000/03/10,640
2000/03/13,625
2000/03/14,641
2000/03/15,642
2000/03/16,680
2000/03/17,685
2000/03/20,700
2000/03/22,700
2000/03/23,700
2000/03/24,698
2000/03/27,685
2000/03/28,684
2000/03/29,684
2000/03/30,684
2000/03/31,683
2000/04/03,670
2000/04/04,665
2000/04/05,606
2000/04/06,610
2000/04/07,580
2000/04/10,575
2000/04/11,550
2000/04/12,550
2000/04/13,545
2000/04/14,555
2000/04/17,500
2000/04/18,505
2000/04/19,525
2000/04/20,520
2000/04/25,521
2000/04/26,530
2000/04/28,530
2000/05/02,530
2000/05/03,555
2000/05/04,552
2000/05/05,561
2000/05/08,568
2000/05/09,580
2000/05/10,585
2000/05/11,585
2000/05/12,600
2000/05/15,600
2000/05/16,605
2000/05/17,600
2000/05/18,600
2000/05/19,600
2000/05/22,600
2000/05/23,600
2000/05/24,600
2000/05/25,590
2000/05/26,590
2000/05/29,595
2000/05/30,596
2000/05/31,630
2000/06/01,630
2000/06/02,635
2000/06/05,640
2000/06/06,650
2000/06/07,660
2000/06/08,660
2000/06/09,660
2000/06/12,651
2000/06/13,700
2000/06/14,700
2000/06/15,780
2000/06/19,781
2000/06/20,775
2000/06/21,775
2000/06/22,770
2000/06/23,762
