Date,NPN
2000/01/04,3902.71
2000/01/05,3823.34
2000/01/06,3770.42
2000/01/07,3949.02
2000/01/10,4200.38
2000/01/11,4696.49
2000/01/12,4762.63
2000/01/13,4961.08
2000/01/14,5371.19
2000/01/17,5754.85
2000/01/18,5721.78
2000/01/19,5543.18
2000/01/20,5688.7
2000/01/21,5556.41
2000/01/24,5523.33
2000/01/25,5060.3
2000/01/26,4928
2000/01/27,4974.31
2000/01/28,5152.91
2000/01/31,5007.38
2000/02/01,5357.96
2000/02/02,5424.11
2000/02/03,5556.41
2000/02/04,5298.43
2000/02/07,5126.45
2000/02/08,4894.93
2000/02/09,5093.37
2000/02/10,4987.54
2000/02/11,4974.31
2000/02/14,5324.89
2000/02/15,5318.27
2000/02/16,5391.04
2000/02/17,5622.55
2000/02/18,5754.85
2000/02/21,5569.64
2000/02/22,5622.55
2000/02/23,5854.07
2000/02/24,6449.4
2000/02/25,6350.18
2000/02/28,6032.67
2000/02/29,5973.14
2000/03/01,6284.03
2000/03/02,6178.19
2000/03/03,6297.26
2000/03/06,6231.11
2000/03/07,6164.97
2000/03/08,6297.26
2000/03/09,6284.03
2000/03/10,6317.1
2000/03/13,6184.81
2000/03/14,6548.62
2000/03/15,6409.71
2000/03/16,6614.77
2000/03/17,6813.21
2000/03/20,6548.62
2000/03/22,6250.96
2000/03/23,6317.1
2000/03/24,6277.42
2000/03/27,6760.29
2000/03/28,6277.42
2000/03/29,6217.88
2000/03/30,5609.32
2000/03/31,5285.2
2000/04/03,5391.04
2000/04/04,4994.15
2000/04/05,4564.19
2000/04/06,4894.93
2000/04/07,4994.15
2000/04/10,5093.37
2000/04/11,4855.24
2000/04/12,4775.86
2000/04/13,4035.01
2000/04/14,3902.71
2000/04/17,3373.53
2000/04/18,3836.57
2000/04/19,4233.45
2000/04/20,4134.23
2000/04/25,4035.01
2000/04/26,4240.07
2000/04/28,4630.34
2000/05/02,4365.75
2000/05/03,4206.99
2000/05/04,4193.76
2000/05/05,4167.3
2000/05/08,4167.3
2000/05/09,4134.23
2000/05/10,4035.01
2000/05/11,3929.17
2000/05/12,3982.09
2000/05/15,4015.17
2000/05/16,4015.17
2000/05/17,3909.33
2000/05/18,4041.62
2000/05/19,3836.57
2000/05/22,3545.52
2000/05/23,3466.14
2000/05/24,3267.7
2000/05/25,3571.98
2000/05/26,3538.9
2000/05/29,3757.19
2000/05/30,3829.95
2000/05/31,4015.17
2000/06/01,3988.71
2000/06/02,4299.6
2000/06/05,4226.84
2000/06/06,4312.83
2000/06/07,4332.67
2000/06/08,4312.83
2000/06/09,4326.06
2000/06/12,4365.75
2000/06/13,4299.6
2000/06/14,4167.3
2000/06/15,3962.25
2000/06/19,4001.94
2000/06/20,4160.69
2000/06/21,4147.46
2000/06/22,4101.16
2000/06/23,4061.47
2000/06/26,3949.02
2000/06/27,3968.86
2000/06/28,3823.34
2000/06/29,3671.2
2000/06/30,3737.34
2000/07/03,3757.19
2000/07/04,3949.02
2000/07/05,3982.09
2000/07/06,3803.49
2000/07/07,3704.27
2000/07/10,3803.49
2000/07/11,3704.27
2000/07/12,3757.19
2000/07/13,3770.42
2000/07/14,3836.57
2000/07/17,3876.25
2000/07/18,3915.94
2000/07/19,3975.48
2000/07/20,4001.94
2000/07/21,4074.7
2000/07/24,4101.16
2000/07/25,4213.61
2000/07/26,4233.45
2000/07/27,4233.45
2000/07/28,4107.77
2000/07/31,4008.55
2000/08/01,3995.32
2000/08/02,4001.94
2000/08/03,3922.56
2000/08/04,3995.32
2000/08/07,4028.39
2000/08/08,4035.01
2000/08/10,4074.7
2000/08/11,4035.01
2000/08/14,4087.93
2000/08/15,4048.24
2000/08/16,4068.08
2000/08/17,3988.71
2000/08/18,3935.79
2000/08/21,4035.01
2000/08/22,4061.47
2000/08/23,3968.86
2000/08/24,3982.09
2000/08/25,4048.24
2000/08/28,4200.38
2000/08/29,4233.45
2000/08/30,4299.6
2000/08/31,4226.84
2000/09/01,4332.67
2000/09/04,4398.82
2000/09/05,4345.9
2000/09/06,4299.6
2000/09/07,4259.91
2000/09/08,4246.68
2000/09/11,4200.38
2000/09/12,4160.69
2000/09/13,3988.71
2000/09/14,3968.86
2000/09/15,3968.86
2000/09/18,3975.48
2000/09/19,3955.63
2000/09/20,3995.32
2000/09/21,3975.48
2000/09/22,3902.71
2000/09/26,3935.79
2000/09/27,3975.48
2000/09/28,3856.41
2000/09/29,3902.71
2000/10/02,3922.56
2000/10/03,4101.16
2000/10/04,4035.01
2000/10/05,4008.55
2000/10/06,4021.78
2000/10/09,3975.48
2000/10/10,3902.71
2000/10/11,3671.2
2000/10/12,3571.98
2000/10/13,3439.68
2000/10/16,3605.05
2000/10/17,3505.83
2000/10/18,3175.09
2000/10/19,3360.3
2000/10/20,3532.29
2000/10/23,3605.05
2000/10/24,3677.81
2000/10/25,3624.89
2000/10/26,3644.74
2000/10/27,3724.12
2000/10/30,3624.89
2000/10/31,3717.5
2000/11/01,3922.56
2000/11/02,3942.4
2000/11/03,4001.94
2000/11/06,3949.02
2000/11/07,3942.4
2000/11/08,3922.56
2000/11/09,3816.72
2000/11/10,3638.12
2000/11/13,3499.21
2000/11/14,3485.98
2000/11/15,3399.99
2000/11/16,3148.63
2000/11/17,3208.16
2000/11/20,3135.4
2000/11/21,3128.79
2000/11/22,2973.34
2000/11/23,2811.28
2000/11/24,2778.2
2000/11/27,2791.43
2000/11/28,2579.76
2000/11/29,2480.54
2000/11/30,2116.73
2000/12/01,2017.5
2000/12/04,2149.8
2000/12/06,2381.32
2000/12/07,2182.87
2000/12/08,2189.49
