Date,JALSH Index
2000/01/04,8365.55
2000/01/05,8277.81
2000/01/06,8290.11
2000/01/07,8500.37
2000/01/10,8781.67
2000/01/11,8805.19
2000/01/12,8757.56
2000/01/13,8750.92
2000/01/14,8827.35
2000/01/17,9028.64
2000/01/18,8978.81
2000/01/19,8954.95
2000/01/20,8964.87
2000/01/21,8856.49
2000/01/24,8825.44
2000/01/25,8590.58
2000/01/26,8474.51
2000/01/27,8462.78
2000/01/28,8341.95
2000/01/31,8277.19
2000/02/01,8560.82
2000/02/02,8541.87
2000/02/03,8591.73
2000/02/04,8493.3
2000/02/07,8656.74
2000/02/08,8689.73
2000/02/09,8733.97
2000/02/10,8602.12
2000/02/11,8491.42
2000/02/14,8381.12
2000/02/15,8294.6
2000/02/16,8215.48
2000/02/17,8367.42
2000/02/18,8330.29
2000/02/21,8142.98
2000/02/22,7957.63
2000/02/23,8023.25
2000/02/24,8027.85
2000/02/25,7914.38
2000/02/28,7798.58
2000/02/29,7759.34
2000/03/01,7880.02
2000/03/02,7799.11
2000/03/03,7805.73
2000/03/06,7863.59
2000/03/07,7866.16
2000/03/08,7805.02
2000/03/09,7721.39
2000/03/10,7699.86
2000/03/13,7433.74
2000/03/14,7600.93
2000/03/15,7599.09
2000/03/16,7741.78
2000/03/17,7808.24
2000/03/20,7830.51
2000/03/22,7884.03
2000/03/23,7949.57
2000/03/24,8012.44
2000/03/27,8040.1
2000/03/28,7893.72
2000/03/29,7940.12
2000/03/30,7762.64
2000/03/31,7791.6
2000/04/03,7816.3
2000/04/04,7869.55
2000/04/05,7583.28
2000/04/06,7689.38
2000/04/07,7671.36
2000/04/10,7702.06
2000/04/11,7561.17
2000/04/12,7483.43
2000/04/13,7226.55
2000/04/14,7002.08
2000/04/17,6467.08
2000/04/18,6734.29
2000/04/19,6850.54
2000/04/20,7004.33
2000/04/25,7163.53
2000/04/26,7225.16
2000/04/28,7270.86
2000/05/02,7275.12
2000/05/03,7333.59
2000/05/04,7297.74
2000/05/05,7281.32
2000/05/08,7317.88
2000/05/09,7445.33
2000/05/10,7490.17
2000/05/11,7362.18
2000/05/12,7347.23
2000/05/15,7372
2000/05/16,7435.39
2000/05/17,7324.07
2000/05/18,7282.56
2000/05/19,7126.5
2000/05/22,7086.62
2000/05/23,7122.05
2000/05/24,6997.6
2000/05/25,7122.75
2000/05/26,7091.07
2000/05/29,7161.31
2000/05/30,7211.36
2000/05/31,7191.36
2000/06/01,7224.2
2000/06/02,7341.6
2000/06/05,7381.78
2000/06/06,7508.55
2000/06/07,7575.4
2000/06/08,7597.08
2000/06/09,7634.78
2000/06/12,7725.15
2000/06/13,7668.28
2000/06/14,7610.87
2000/06/15,7571.67
2000/06/19,7584.02
2000/06/20,7608.23
2000/06/21,7533.86
2000/06/22,7498.37
2000/06/23,7450.29
2000/06/26,7511.1
2000/06/27,7516.96
2000/06/28,7535.84
2000/06/29,7510.33
2000/06/30,7584.45
2000/07/03,7615.02
2000/07/04,7656.45
2000/07/05,7703.3
2000/07/06,7648.6
2000/07/07,7596.99
2000/07/10,7652.89
2000/07/11,7655.53
2000/07/12,7778.73
2000/07/13,7795.18
2000/07/14,7892.56
2000/07/17,7883.59
2000/07/18,7859.11
2000/07/19,7866.64
2000/07/20,7811.29
2000/07/21,7815.54
2000/07/24,7791.34
2000/07/25,7765.28
2000/07/26,7750.16
2000/07/27,7723.33
2000/07/28,7678.03
2000/07/31,7635.83
2000/08/01,7635.5
2000/08/02,7720.3
2000/08/03,7683.62
2000/08/04,7793.01
2000/08/07,7798.56
2000/08/08,7835.36
2000/08/10,7965.5
2000/08/11,8005.98
2000/08/14,8085.03
2000/08/15,8092.92
2000/08/16,8162.5
2000/08/17,8134.26
2000/08/18,8146.01
2000/08/21,8196.52
2000/08/22,8301.67
2000/08/23,8304.71
2000/08/24,8309.49
2000/08/25,8258.47
2000/08/28,8271.12
2000/08/29,8303.96
2000/08/30,8283.51
2000/08/31,8377.15
2000/09/01,8430.42
2000/09/04,8528.62
2000/09/05,8451.08
2000/09/06,8443.03
2000/09/07,8433.79
2000/09/08,8433.94
2000/09/11,8394.71
2000/09/12,8312.18
2000/09/13,8347.46
2000/09/14,8383
2000/09/15,8328.43
2000/09/18,8251.81
2000/09/19,8151.61
2000/09/20,8111.54
2000/09/21,8017.99
2000/09/22,7977.45
2000/09/26,8060.4
2000/09/27,8118.45
2000/09/28,8178.65
2000/09/29,8161.88
2000/10/02,8247.4
2000/10/03,8299.95
2000/10/04,8273.4
2000/10/05,8188.4
2000/10/06,8136.31
2000/10/09,8084.6
2000/10/10,8042.24
2000/10/11,7936.78
2000/10/12,7922.7
2000/10/13,7879.26
2000/10/16,7989.32
2000/10/17,7935.81
2000/10/18,7703.88
2000/10/19,7894.31
2000/10/20,7952.79
2000/10/23,7986.41
2000/10/24,7975.6
2000/10/25,7866.31
2000/10/26,7824.95
2000/10/27,7802.36
2000/10/30,7807.64
2000/10/31,8039.58
2000/11/01,8160.02
2000/11/02,8352.5
2000/11/03,8309.76
2000/11/06,8259.07
2000/11/07,8329.55
2000/11/08,8303.16
2000/11/09,8232.61
2000/11/10,8107.5
2000/11/13,8019.93
2000/11/14,8143.2
2000/11/15,8163.81
2000/11/16,8171.8
2000/11/17,8077.09
2000/11/20,8006
2000/11/21,8046.03
2000/11/22,7882.26
2000/11/23,7784.88
2000/11/24,7819.84
2000/11/27,7937.17
2000/11/28,7925.47
2000/11/29,7952.07
2000/11/30,7711.55
2000/12/01,7692.28
2000/12/04,7740.62
2000/12/06,7933.23
2000/12/07,7910.6
2000/12/08,8052.44
2000/12/11,8257.36
2000/12/12,8253.5
2000/12/13,8138.79
2000/12/14,8043.69
2000/12/15,7960.56
2000/12/18,8039.92
2000/12/19,8075
2000/12/20,8007.01
2000/12/21,7958.27
2000/12/22,8076.42
2000/12/27,8173.43
2000/12/28,8253.31
2000/12/29,8164.34
2001/01/02,8128.83
2001/01/03,7957.77
2001/01/04,8307.24
2001/01/05,8280.59
